Tenth_Percentage,Twelfth_Percentage,JEE_Percentile,CUET_Score,Category,State,Family_Income,Gender,Gap_Year,CGPA,Backlogs,Extracurricular,Research_Paper,Internship,Desired_Branch,College_Tier,Admission_Chance
79.2,85.21,99.99,668.73,SC,West_Bengal,15.77,Male,1,6.31,0,0,0,0,CE,Tier_3,0.7802
75.72,88.7,77.9,518.37,OBC,Delhi,4.9,Male,1,7.98,0,1,1,2,CE,Tier_2,0.7492
99.0,97.82,80.63,605.6,General,West_Bengal,7.82,Female,0,7.91,0,1,0,1,CSE,Tier_1,0.5444
81.92,92.43,84.58,463.8,General,West_Bengal,7.28,Male,1,5.77,0,1,0,2,Chemical,Tier_3,0.6994
95.48,81.3,94.21,596.53,General,Maharashtra,10.0,Female,0,8.92,1,1,1,0,Chemical,Tier_1,0.5897
70.43,56.66,78.77,407.7,OBC,Uttar_Pradesh,8.62,Female,2,6.78,0,0,0,1,ECE,Tier_1,0.4209
75.19,72.22,27.57,353.87,SC,Uttar_Pradesh,4.12,Male,0,5.73,1,0,0,2,CSE,Tier_1,0.2989
83.9,85.17,82.69,688.79,OBC,Karnataka,8.33,Male,1,8.63,0,1,0,0,IT,Tier_1,0.5584
78.33,59.99,90.84,569.36,General,Delhi,2.29,Female,2,6.63,0,1,0,1,CE,Tier_2,0.5582
73.14,63.78,62.96,384.5,OBC,Rajasthan,7.41,Male,0,4.88,0,1,0,1,IT,Tier_3,0.5398
99.0,82.78,99.62,738.21,EWS,Maharashtra,8.12,Male,0,9.14,0,0,0,0,ME,Tier_2,0.765
78.07,77.5,70.39,580.77,EWS,Karnataka,3.37,Male,0,6.45,1,1,0,0,Chemical,Tier_3,0.6409
83.22,80.08,80.3,593.47,SC,Rajasthan,5.9,Male,0,10.0,0,0,0,0,EE,Tier_1,0.57
93.25,79.07,95.97,494.32,General,Delhi,4.9,Male,0,7.14,0,1,0,0,ECE,Tier_2,0.617
96.32,88.87,67.76,640.23,General,Maharashtra,4.97,Male,2,5.73,0,1,0,0,IT,Tier_2,0.4595
76.3,64.25,60.81,722.95,OBC,Kerala,13.55,Male,1,9.19,1,1,0,1,ECE,Tier_3,0.6716
47.47,49.82,36.75,372.07,OBC,Uttar_Pradesh,10.7,Male,2,5.76,0,1,0,1,ME,Tier_3,0.4708
77.09,63.84,57.14,542.69,SC,Delhi,15.94,Female,0,6.8,0,1,0,0,ECE,Tier_3,0.6741
60.27,60.99,39.72,496.42,General,Delhi,38.96,Male,0,7.33,0,1,0,2,ME,Tier_1,0.4304
77.36,67.75,95.25,732.94,EWS,Maharashtra,17.78,Female,0,6.76,0,0,0,2,IT,Tier_1,0.5658
86.81,86.29,79.55,630.94,SC,Rajasthan,2.16,Female,0,5.82,0,1,0,1,CSE,Tier_1,0.57
65.92,65.93,67.92,258.41,EWS,Karnataka,4.37,Male,1,8.41,0,1,1,0,ECE,Tier_2,0.5994
67.62,65.52,36.16,484.73,ST,Delhi,21.62,Male,1,5.62,0,1,0,1,ME,Tier_1,0.4184
94.71,99.0,99.99,693.34,OBC,Telangana,5.39,Female,0,9.95,1,1,0,1,ECE,Tier_2,0.7309
85.1,82.64,96.01,686.33,SC,Rajasthan,5.11,Male,0,8.17,0,1,0,1,CSE,Tier_2,0.7432
79.31,72.57,82.76,589.01,ST,Gujarat,9.65,Male,0,7.83,1,1,0,0,EE,Tier_1,0.5418
99.0,84.63,77.81,612.13,General,West_Bengal,5.88,Male,0,7.26,0,1,0,0,CE,Tier_1,0.5781
86.48,71.09,89.03,553.4,General,Telangana,29.01,Male,1,9.96,0,1,0,1,Biotech,Tier_2,0.6043
85.3,79.19,87.23,668.83,General,Karnataka,6.49,Male,1,6.5,1,1,1,1,IT,Tier_3,0.637
46.98,55.35,55.41,516.98,OBC,Delhi,50.0,Female,0,5.36,0,0,0,0,CE,Tier_3,0.5373
76.32,58.11,90.84,587.85,OBC,Maharashtra,4.72,Female,0,8.65,1,1,2,0,ECE,Tier_1,0.5271
90.15,72.2,99.99,507.64,General,Maharashtra,4.37,Male,0,7.2,0,1,1,0,CSE,Tier_2,0.6022
91.03,79.59,79.48,398.71,OBC,Telangana,3.79,Male,2,6.18,0,0,0,0,CE,Tier_3,0.5161
83.07,69.36,73.51,716.2,OBC,West_Bengal,3.94,Male,0,8.13,1,1,0,2,ME,Tier_1,0.5922
49.68,55.12,54.79,323.57,ST,Maharashtra,13.18,Male,1,6.04,2,1,0,0,ME,Tier_1,0.3848
40.0,49.46,34.28,252.7,General,Maharashtra,2.52,Female,0,7.25,0,1,0,2,ME,Tier_3,0.4465
55.48,57.85,51.1,440.29,SC,Rajasthan,3.31,Male,0,8.28,0,0,1,0,CSE,Tier_3,0.573
75.21,77.05,66.71,423.8,EWS,Karnataka,11.2,Female,0,5.23,0,0,0,0,ME,Tier_2,0.4522
76.71,69.02,87.79,644.03,OBC,Gujarat,1.3,Male,1,8.53,0,0,1,1,CSE,Tier_3,0.7148
65.83,65.72,94.39,513.39,OBC,Kerala,2.27,Male,2,6.22,0,0,0,0,CE,Tier_3,0.6369
68.94,60.23,72.35,484.81,General,Rajasthan,7.09,Female,0,6.48,1,0,1,0,CE,Tier_2,0.4886
60.69,64.76,93.54,510.43,SC,Delhi,10.24,Female,2,6.63,0,0,1,1,EE,Tier_1,0.5442
93.54,86.09,86.32,623.95,ST,West_Bengal,5.65,Male,1,7.49,1,1,0,2,EE,Tier_3,0.7399
74.89,62.83,81.99,521.75,General,Uttar_Pradesh,10.47,Female,1,5.72,0,1,1,2,EE,Tier_2,0.543
78.48,73.7,68.17,616.11,ST,Gujarat,3.71,Female,2,4.7,0,1,0,0,IT,Tier_2,0.457
61.72,62.9,52.28,572.45,General,Delhi,24.81,Male,0,8.16,0,1,1,0,CSE,Tier_3,0.5263
87.98,83.84,99.99,587.25,ST,Rajasthan,15.31,Female,0,8.34,0,1,1,1,Chemical,Tier_2,0.7784
92.38,87.21,71.53,616.07,OBC,Uttar_Pradesh,3.85,Female,0,7.88,2,1,0,2,ECE,Tier_3,0.7412
92.15,78.73,76.78,630.26,OBC,Tamil_Nadu,6.36,Male,0,7.29,0,0,0,0,EE,Tier_2,0.5601
79.15,81.51,54.13,436.89,EWS,Karnataka,1.53,Male,1,8.71,1,1,0,2,CSE,Tier_2,0.5244
76.67,77.86,93.69,589.01,OBC,Maharashtra,15.54,Female,0,7.51,2,1,1,0,CSE,Tier_3,0.6136
73.77,65.84,85.99,442.16,General,Gujarat,2.66,Male,0,6.36,0,1,0,0,Biotech,Tier_2,0.4874
93.65,76.42,78.93,678.43,SC,Maharashtra,4.8,Female,0,5.85,2,1,0,4,CSE,Tier_3,0.773
79.7,70.61,46.77,480.59,General,Karnataka,5.85,Male,0,7.36,1,1,0,0,ME,Tier_3,0.5913
80.28,64.42,75.11,654.15,EWS,Uttar_Pradesh,2.46,Male,0,7.27,0,1,0,0,CSE,Tier_1,0.455
81.22,78.52,64.35,510.63,General,Karnataka,3.79,Male,0,7.5,0,1,1,2,CSE,Tier_1,0.477
74.6,81.69,61.02,549.37,OBC,West_Bengal,9.95,Male,0,7.84,0,1,2,1,Biotech,Tier_2,0.6619
94.97,97.85,75.82,699.46,OBC,Karnataka,4.96,Female,0,8.69,0,1,1,0,EE,Tier_1,0.5992
60.95,53.95,65.61,493.84,OBC,Uttar_Pradesh,14.84,Male,0,6.84,0,0,1,1,EE,Tier_3,0.6169
85.22,85.95,63.07,598.27,OBC,Maharashtra,13.37,Female,0,7.12,0,0,1,1,ECE,Tier_1,0.4655
99.0,89.98,72.51,536.34,OBC,Tamil_Nadu,3.75,Female,0,7.75,0,0,0,2,CSE,Tier_2,0.5869
74.91,53.27,45.24,633.74,SC,Uttar_Pradesh,5.14,Male,0,8.37,0,1,0,1,CE,Tier_2,0.6015
99.0,86.64,99.1,636.67,General,Telangana,5.14,Male,1,9.08,0,1,1,0,CSE,Tier_2,0.6704
85.76,76.48,68.77,416.12,SC,Delhi,5.35,Female,0,6.45,0,0,2,0,ECE,Tier_3,0.7224
82.8,87.65,95.81,627.7,General,Karnataka,24.04,Male,0,9.15,0,0,0,0,ME,Tier_1,0.5381
83.47,71.46,86.81,738.17,ST,Delhi,8.61,Male,0,6.52,0,1,0,0,CSE,Tier_3,0.7156
91.44,88.51,69.81,431.08,SC,Delhi,1.96,Male,0,7.97,0,0,0,2,Biotech,Tier_1,0.6199
68.71,67.24,37.74,312.62,SC,Karnataka,4.38,Female,1,5.84,1,1,2,2,CE,Tier_3,0.5864
64.9,53.86,48.76,475.8,General,Telangana,5.11,Female,0,7.59,0,0,0,0,CSE,Tier_2,0.3794
89.78,78.43,74.74,711.69,ST,Karnataka,10.37,Female,0,9.7,0,0,1,1,ME,Tier_2,0.7824
72.27,82.85,59.85,445.07,SC,Karnataka,31.24,Male,0,6.93,0,0,0,0,CE,Tier_1,0.418
75.27,71.3,86.95,639.56,EWS,Kerala,13.87,Female,0,7.14,1,1,0,0,ECE,Tier_3,0.6477
80.68,83.72,76.56,705.06,General,Rajasthan,6.81,Male,1,7.26,1,0,0,1,Chemical,Tier_2,0.553
87.04,87.73,50.65,361.39,SC,Karnataka,3.74,Female,0,6.55,0,0,0,0,CE,Tier_2,0.5403
70.48,65.75,73.23,540.14,OBC,Rajasthan,23.03,Female,0,8.59,2,0,0,0,CSE,Tier_2,0.4365
96.06,76.98,84.01,483.32,EWS,West_Bengal,5.83,Male,1,8.12,0,1,0,0,CE,Tier_1,0.584
52.5,47.54,35.84,403.61,OBC,Telangana,2.37,Female,0,4.0,1,1,3,2,IT,Tier_3,0.4875
64.52,76.78,58.87,424.92,General,Maharashtra,9.84,Male,0,7.62,2,0,0,1,ECE,Tier_1,0.2124
84.03,80.04,78.65,499.05,ST,Uttar_Pradesh,2.75,Female,0,8.03,0,1,0,1,Chemical,Tier_1,0.645
72.99,57.22,67.16,705.87,General,Rajasthan,12.53,Male,0,7.86,1,1,0,1,CSE,Tier_3,0.5785
46.4,59.15,50.19,346.46,SC,Kerala,5.39,Male,1,5.73,0,1,0,1,ECE,Tier_2,0.4918
83.42,64.1,89.13,462.17,General,Uttar_Pradesh,5.79,Female,0,6.45,1,1,0,1,Biotech,Tier_3,0.6769
68.71,61.49,67.65,307.92,EWS,Maharashtra,1.0,Male,0,6.04,1,1,0,1,ECE,Tier_1,0.3887
71.6,70.77,94.51,696.8,OBC,Kerala,17.5,Male,0,7.86,0,1,0,0,CSE,Tier_3,0.6723
61.04,82.89,87.89,614.11,General,Tamil_Nadu,2.88,Male,0,5.3,1,1,0,0,CSE,Tier_2,0.5135
82.49,84.27,36.98,443.52,ST,Tamil_Nadu,4.15,Female,0,7.06,0,0,1,1,IT,Tier_1,0.5108
88.7,78.23,82.65,514.62,General,Delhi,8.61,Female,0,7.91,0,1,0,2,ECE,Tier_2,0.6354
86.39,80.7,72.16,693.7,General,Gujarat,6.58,Male,2,9.2,0,0,1,1,IT,Tier_1,0.4894
99.0,96.66,56.35,800.0,ST,Uttar_Pradesh,46.39,Male,0,8.31,0,1,1,1,EE,Tier_1,0.7115
99.0,99.0,73.98,651.29,General,Kerala,1.86,Male,1,7.54,0,1,0,1,IT,Tier_2,0.5543
89.22,80.47,62.23,437.64,General,Uttar_Pradesh,5.44,Male,1,5.48,0,0,0,4,Chemical,Tier_3,0.6159
72.14,68.75,69.93,687.5,OBC,Delhi,13.86,Male,2,6.78,1,1,0,1,IT,Tier_1,0.4113
61.9,56.69,53.64,414.73,General,Gujarat,5.18,Female,0,8.32,0,1,0,1,CSE,Tier_2,0.4743
88.82,87.49,76.82,578.01,EWS,Maharashtra,7.37,Male,1,8.05,0,1,0,1,Chemical,Tier_2,0.6386
82.89,86.23,99.99,360.35,ST,Karnataka,50.0,Male,0,8.07,0,1,0,0,ECE,Tier_2,0.6684
95.55,71.38,53.1,597.02,ST,Kerala,7.79,Male,0,7.24,1,1,0,1,IT,Tier_1,0.5169
54.45,54.94,74.97,368.51,ST,Kerala,22.66,Female,0,7.15,1,0,0,3,CE,Tier_2,0.6177
91.55,74.38,79.13,725.06,ST,Gujarat,12.43,Male,1,6.37,0,1,0,0,CSE,Tier_1,0.5681
99.0,90.51,79.43,593.36,General,Delhi,13.33,Female,0,9.21,1,1,2,0,EE,Tier_2,0.6846
58.91,51.33,8.88,399.18,SC,Rajasthan,6.3,Male,0,4.44,0,0,0,1,EE,Tier_1,0.3239
50.61,44.86,53.45,348.78,EWS,Uttar_Pradesh,2.01,Male,2,4.0,0,1,0,1,Chemical,Tier_2,0.3545
93.71,94.59,62.04,664.73,SC,Tamil_Nadu,17.64,Female,0,10.0,0,0,1,0,ME,Tier_3,0.8142
66.39,65.15,76.28,555.11,EWS,Tamil_Nadu,11.54,Male,0,7.14,0,0,0,0,IT,Tier_1,0.4198
72.73,70.43,92.87,529.66,ST,Tamil_Nadu,11.34,Male,0,7.28,0,0,0,1,ME,Tier_1,0.5883
51.52,59.52,29.77,355.37,General,Karnataka,6.55,Male,2,4.29,0,0,1,0,CE,Tier_1,0.2005
68.5,75.72,83.69,464.78,OBC,Uttar_Pradesh,4.4,Female,1,7.76,0,1,1,1,ECE,Tier_2,0.6026
81.59,73.76,76.98,645.03,General,Maharashtra,21.29,Female,2,8.62,0,0,1,1,ECE,Tier_2,0.5563
85.94,76.98,52.59,505.05,ST,Gujarat,9.6,Female,0,7.96,2,0,1,1,IT,Tier_3,0.5682
87.42,78.06,70.17,800.0,EWS,Telangana,1.71,Male,0,9.29,1,1,0,0,EE,Tier_1,0.4689
53.69,66.24,56.61,452.98,OBC,Tamil_Nadu,7.08,Female,1,7.61,0,0,0,0,EE,Tier_2,0.4549
91.52,83.52,73.66,513.3,General,Kerala,5.79,Male,1,7.75,0,1,0,1,Biotech,Tier_3,0.7325
75.51,70.53,48.22,592.23,General,Gujarat,1.0,Male,1,5.3,0,1,1,1,EE,Tier_3,0.5746
84.09,81.99,74.67,539.54,General,Gujarat,4.06,Male,0,6.45,1,1,0,0,IT,Tier_1,0.4059
72.57,85.45,92.61,616.14,OBC,Telangana,50.0,Male,0,9.63,0,1,1,1,IT,Tier_2,0.6454
87.73,82.01,83.83,458.39,EWS,Karnataka,1.12,Male,0,7.37,2,1,0,2,ME,Tier_2,0.5624
72.64,68.69,56.16,532.5,General,Gujarat,2.93,Female,0,7.01,0,0,2,2,ME,Tier_3,0.5644
69.6,84.26,71.09,511.66,SC,Maharashtra,1.05,Female,2,6.21,0,1,1,1,Biotech,Tier_3,0.7091
62.64,74.48,72.39,474.31,ST,Kerala,2.08,Female,1,5.94,1,1,0,2,CE,Tier_3,0.6224
75.35,82.22,71.74,596.91,ST,Uttar_Pradesh,1.7,Male,0,7.92,0,0,1,0,ECE,Tier_3,0.7624
56.91,55.83,86.5,515.15,General,Rajasthan,2.86,Male,0,9.03,2,1,0,0,CSE,Tier_3,0.451
83.55,73.69,86.04,649.22,General,Karnataka,29.16,Male,0,8.97,1,0,1,2,CSE,Tier_2,0.5735
88.45,67.24,82.05,521.25,General,Maharashtra,15.25,Female,0,8.68,0,0,2,1,IT,Tier_2,0.6241
87.53,88.99,86.58,690.44,General,Delhi,6.01,Male,0,8.7,0,0,2,2,Biotech,Tier_1,0.5982
96.47,88.14,56.87,543.8,General,Maharashtra,28.19,Male,0,7.19,0,0,0,1,IT,Tier_2,0.4486
73.24,56.86,84.45,542.57,OBC,Tamil_Nadu,5.05,Female,0,6.03,1,1,1,1,IT,Tier_3,0.5883
96.42,97.11,59.45,633.2,SC,Karnataka,3.44,Male,0,6.65,0,0,0,0,Chemical,Tier_2,0.587
99.0,86.6,79.35,631.72,General,Kerala,5.23,Female,0,9.64,1,1,0,3,ME,Tier_2,0.6849
92.44,83.0,80.21,800.0,OBC,Gujarat,2.08,Male,0,7.94,2,1,0,0,CSE,Tier_2,0.4992
61.46,50.92,64.2,468.46,OBC,Uttar_Pradesh,1.63,Male,0,7.1,1,0,0,2,CE,Tier_2,0.5465
69.67,72.7,82.29,598.23,General,Telangana,12.53,Female,0,7.71,1,1,0,0,Chemical,Tier_1,0.5177
82.45,81.73,90.74,454.6,General,Uttar_Pradesh,9.63,Male,1,7.53,0,1,0,2,ME,Tier_2,0.5939
99.0,88.92,80.99,698.13,General,Telangana,2.64,Male,1,8.26,0,0,1,0,IT,Tier_2,0.5079
92.39,81.32,71.08,631.94,OBC,Rajasthan,10.74,Male,0,8.73,0,0,0,0,Chemical,Tier_2,0.5973
89.12,99.0,69.45,604.43,OBC,Rajasthan,11.09,Male,1,6.68,1,0,0,2,CSE,Tier_3,0.6511
99.0,79.67,81.0,742.12,General,Karnataka,4.56,Male,0,9.44,2,0,1,1,ME,Tier_3,0.7433
95.32,80.95,90.35,638.51,General,Gujarat,3.45,Male,0,7.34,0,0,0,0,ME,Tier_2,0.582
81.62,82.8,68.66,607.73,General,Gujarat,13.92,Male,1,8.43,0,1,1,0,ME,Tier_3,0.6967
64.43,56.98,51.22,255.6,General,Maharashtra,10.57,Male,0,5.25,0,0,0,0,ECE,Tier_3,0.3545
93.04,76.42,99.27,561.36,SC,Maharashtra,29.73,Female,0,7.47,0,0,1,0,ME,Tier_3,0.7819
59.73,70.86,53.87,368.09,SC,Telangana,10.47,Male,0,5.62,0,0,0,1,IT,Tier_1,0.3298
89.92,87.79,54.23,465.85,SC,Kerala,1.79,Female,1,7.38,0,0,0,1,EE,Tier_3,0.6607
90.36,87.12,80.11,782.03,OBC,Uttar_Pradesh,2.17,Female,0,8.96,0,0,0,0,Biotech,Tier_1,0.6008
71.02,71.17,25.4,556.48,General,Delhi,6.21,Male,0,6.8,2,0,0,0,IT,Tier_1,0.2242
63.59,58.98,55.75,315.26,General,Tamil_Nadu,14.11,Male,1,8.55,1,1,0,1,IT,Tier_1,0.3229
86.87,78.79,99.99,633.93,OBC,Maharashtra,9.55,Male,0,8.67,1,1,0,0,ECE,Tier_1,0.5195
74.69,71.65,46.52,451.17,SC,Gujarat,4.51,Female,2,6.8,0,0,0,1,CSE,Tier_2,0.4528
56.06,66.01,37.75,512.1,ST,Maharashtra,1.92,Male,0,6.68,0,1,1,0,ME,Tier_3,0.6639
69.87,72.31,55.0,456.03,SC,Karnataka,23.93,Male,0,7.44,0,1,0,0,IT,Tier_2,0.5331
78.94,67.83,96.59,605.23,SC,Uttar_Pradesh,23.03,Male,0,8.79,0,1,0,0,ECE,Tier_2,0.7436
69.21,74.77,89.28,589.29,ST,Rajasthan,2.4,Female,0,5.76,0,0,0,2,IT,Tier_2,0.5861
83.8,65.23,91.08,725.22,SC,Telangana,12.57,Female,0,8.81,0,1,1,0,EE,Tier_2,0.7454
97.55,85.72,64.24,774.52,EWS,Tamil_Nadu,9.06,Male,0,6.92,1,0,0,2,ECE,Tier_3,0.6962
86.28,71.26,69.95,541.77,General,Delhi,12.77,Female,0,7.91,1,1,1,1,ECE,Tier_3,0.6662
79.24,68.61,93.23,414.9,General,Maharashtra,24.89,Male,2,8.25,1,1,0,0,EE,Tier_2,0.5378
62.01,78.82,58.68,583.32,OBC,West_Bengal,23.11,Male,0,7.28,1,1,1,0,CE,Tier_1,0.4327
92.7,73.12,90.34,761.52,OBC,Maharashtra,11.08,Female,2,6.07,0,1,2,1,CSE,Tier_1,0.534
59.53,55.12,64.8,544.48,General,West_Bengal,6.08,Female,0,5.07,0,1,1,0,CE,Tier_3,0.5781
65.63,70.03,33.92,405.59,SC,Tamil_Nadu,5.82,Male,0,7.18,2,1,0,3,CSE,Tier_1,0.4119
84.8,75.6,87.03,486.2,OBC,Tamil_Nadu,6.2,Male,1,5.02,0,1,0,2,CE,Tier_1,0.5301
99.0,90.54,99.47,719.05,OBC,Delhi,50.0,Male,0,8.92,2,1,1,0,Biotech,Tier_1,0.7544
93.69,97.02,54.16,586.69,General,Telangana,7.66,Male,2,9.15,0,0,0,1,CSE,Tier_1,0.4451
74.04,77.06,33.84,416.78,OBC,Rajasthan,13.79,Female,1,7.57,1,1,0,0,ME,Tier_2,0.4653
79.03,71.57,54.4,782.13,OBC,Uttar_Pradesh,10.31,Female,1,7.06,0,0,1,2,IT,Tier_1,0.4374
54.14,56.83,55.73,545.36,General,Tamil_Nadu,3.35,Male,0,6.34,2,0,1,1,ME,Tier_3,0.5305
73.66,75.8,45.68,527.31,General,Karnataka,10.83,Female,0,6.82,0,1,0,0,ECE,Tier_1,0.4049
86.51,85.64,77.66,515.87,OBC,Tamil_Nadu,4.35,Female,0,5.98,0,1,0,0,CE,Tier_3,0.6834
76.04,73.39,70.04,519.14,EWS,Telangana,3.47,Male,0,8.26,0,0,0,4,Chemical,Tier_1,0.6527
57.44,63.09,43.71,419.02,General,Tamil_Nadu,11.89,Male,0,7.18,1,0,0,0,Chemical,Tier_2,0.3761
78.06,77.54,80.43,698.25,General,Maharashtra,2.69,Male,1,8.22,0,0,1,3,ECE,Tier_2,0.6819
55.27,57.95,66.48,461.86,General,Telangana,14.91,Female,0,6.42,0,0,0,0,Biotech,Tier_2,0.4868
66.45,61.68,52.31,396.24,General,Uttar_Pradesh,11.66,Male,0,7.1,1,0,2,1,CSE,Tier_3,0.4837
68.52,73.9,76.09,572.63,SC,Delhi,20.33,Male,1,8.72,1,1,0,0,CSE,Tier_2,0.5138
82.9,80.37,76.08,466.19,General,Maharashtra,10.85,Female,0,8.68,1,1,0,0,EE,Tier_1,0.4471
80.16,59.47,83.88,570.05,OBC,Karnataka,3.44,Male,2,9.36,1,0,0,0,Chemical,Tier_2,0.5976
70.04,62.42,61.13,445.89,EWS,West_Bengal,18.02,Female,1,5.63,2,1,1,1,CSE,Tier_1,0.3177
66.8,62.91,89.35,537.57,General,Kerala,18.78,Female,1,7.25,0,1,0,0,ECE,Tier_1,0.4068
95.17,85.01,72.34,643.04,OBC,Maharashtra,15.1,Male,0,8.52,1,0,0,2,CSE,Tier_1,0.5384
75.05,82.17,92.21,660.28,EWS,Karnataka,13.28,Female,0,8.49,1,1,1,1,ME,Tier_1,0.5787
76.94,99.0,68.68,482.16,OBC,Delhi,2.27,Female,0,8.38,0,1,1,1,ME,Tier_2,0.6338
77.11,54.3,77.87,405.23,General,Tamil_Nadu,14.65,Male,2,8.66,0,1,1,2,CE,Tier_2,0.5268
85.24,82.1,99.99,669.59,General,Gujarat,2.72,Female,0,6.14,1,0,1,2,CSE,Tier_2,0.6212
71.17,70.38,49.76,378.95,ST,Delhi,4.49,Male,0,7.05,0,0,0,0,ECE,Tier_3,0.6274
73.57,70.06,64.43,524.94,ST,Kerala,3.8,Female,0,8.09,0,1,2,2,IT,Tier_3,0.6822
81.75,81.57,66.14,656.58,General,Delhi,2.11,Female,0,8.41,1,1,0,1,CSE,Tier_2,0.5514
80.43,77.5,49.67,369.75,OBC,Rajasthan,8.52,Female,1,7.75,1,0,0,0,CSE,Tier_1,0.3574
72.94,68.17,71.32,497.25,General,West_Bengal,7.21,Female,0,6.27,3,0,1,0,ECE,Tier_1,0.2981
56.29,59.64,42.5,345.0,General,Uttar_Pradesh,21.38,Female,0,7.33,0,1,0,0,CE,Tier_2,0.3918
65.3,70.17,64.56,548.12,EWS,Gujarat,19.38,Male,0,8.22,3,0,0,2,Chemical,Tier_3,0.6414
74.45,75.8,99.99,640.37,OBC,Uttar_Pradesh,8.51,Male,2,7.4,1,1,0,1,CSE,Tier_2,0.5228
91.89,85.83,79.07,546.62,General,Gujarat,13.88,Male,0,7.14,0,0,0,2,ECE,Tier_3,0.6922
82.23,72.9,68.88,600.57,OBC,Uttar_Pradesh,6.8,Male,0,8.02,1,1,0,2,Chemical,Tier_3,0.7281
81.63,99.0,81.12,640.59,ST,Rajasthan,6.76,Female,2,7.57,0,0,1,1,EE,Tier_1,0.6897
77.71,77.27,78.56,698.19,ST,Maharashtra,8.17,Male,0,7.46,1,1,1,1,EE,Tier_1,0.6527
54.51,64.26,76.25,341.91,SC,West_Bengal,6.55,Male,2,5.88,1,1,0,1,CSE,Tier_1,0.3127
84.67,75.21,97.39,572.7,ST,Telangana,8.76,Male,0,7.88,1,1,2,1,ME,Tier_1,0.6253
73.75,73.15,82.01,590.59,SC,West_Bengal,12.56,Female,0,7.34,0,0,0,1,Biotech,Tier_3,0.7052
